section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3,description_4
education,TRUE,Mestrado em Ecologia,Universidade Federal do Rio Grande do Sul (UFRGS),"Porto Alegre, Brasil",2014,2016,Bolsista - Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq). Título da dissertação: Pressão ambiental em bacias hidrográficas do Pampa e sua relação com a ictiofauna.,,,
education,TRUE,Bacharelado em Ciências Biológicas,Universidade Federal do Rio Grande do Sul (UFRGS),"Porto Alegre, Brasil",2006,2011,"Título do trabalho de conclusão (TCC): Modelagem de distribuição espacial de três espécies de peixes (Characidae) em bacias da Mata Atlântica, Rio Grande do Sul, Brasil.",,,
education,TRUE,MBA em Data Science e Analytics,Universidade de São Paulo - Escola de Agricultura Luiz de Queiroz,"Piracicaba, Brasil",2022,atual.,,,,
professional,TRUE,Técnica em SIG,Centro Nacional de Pesquisa e Conservação de Répteis e Anfíbios (RAN/ICMBio),"Goiânia, Brasil",2019,atual.,"Atua no processo de elaboração das Áreas Estratégicas dos Planos de Ação Nacionais (PANs) coordenados pelo RAN, na execução de ações dos PANs relacioadas a análises espaciais e outras atividades sob demanda.",,,
professional,TRUE,Consultora de SIG,Instituto Curicaca,"Porto Alegre, Brasil",2011,2018,"Consultora contratada em diversos projetos, coordenadora geral da Instituição (função não-remunerada) entre fevereiro de 2015 e agosto de 2016, coordenadora do Núcleo de Gestão da Paisagem e Geoprocessamento entre 2016 e 2018. Foi estagiária em 2011.",,,
professional,TRUE,Assistente administrativa,Fundação Estadual de Proteção Ambiental Henrique Luís Roessler (FEPAM),"Porto Alegre, Brasil",2011,2012,Servidora pública atuando com atendimento ao público para abertura de processos de licenciamento ambiental.,,,
professional,TRUE,Iniciação científica,Laboratório de Ecologia da Paisagem - UFRGS,"Porto Alegre, Brasil",2009,2011,"Iniciação em análises espaciais, sistemas de informação geográfica, modelos de adequabilidade ambiental para fauna (ênfase em espécies de peixes de riacho), noções sobre avaliação ambiental estratégica de bacias hidrográficas.",,,
