section,year,authors,title,loc,hours,titulo
organization,2023,"Cortes, Lara G.; Rancura, Sheila A.O.; **Meneses, B.A.**; Batista, Flávia R.Q.",Spatial Prioritization for the Elaboration of Strategic Areas of Action Plans,Online.,17h.,
organization,2015,"Camana, M.; **Meneses, B.A.**",Short-course GIS: principles and layout design,"Porto Alegre, Brazil.",,Minicurso SIG: princípios e elaboração de layouts.
organization,2012,"Krob, A.; Ximenes, S.; **Meneses, B.A.**; Castilho, C.S.","Technical workshops for planning ecological corridors on the wetlands of the Gravataí river basin, with the marsh deer as a focal species","Viamão, Brazil.",,Oficinas técnicas de planejamento dos corredores ecológicos das áreas úmidas da bacia hidrográfica do rio Gravataí tendo o cervo-do-pantanal como espécie focal
participation,2023, ,Preparatory Workshop for the 2nd Cycle of the National Action Plan for the Conservation of Endangered Herpetofauna in the Southeast,"Iperó, Brazil.",40h.,
participation,2022,"Abrahao, C.R.; Vasconcellos, M.A.; **Meneses, B.A.**; D'Anunciação, P.E.R.; Silva, B.B.M.R.",Mid-Term Assessment Workshops and 3rd Annual Monitoring of the 2nd Cycle of the National Action Plan for the Conservation of Threatened Herpetofauna in the Northeast,"Pacoti, Brazil.",30h.,Oficinas de Avaliação de Meio Termo e da 3ª Monitoria Anual do 2º Ciclo do Plano de Ação Nacional para a Conservação da Herpetofauna Ameaçada do Nordeste
participation,2021,"Valadão, R.M.; Vasconcellos, M.A.; **Meneses, B.A.**; Bataus, Y.S.L.","Mid-Term Assessment Workshops and III Monitoring of the National Action Plan for the Conservation of Endangered Species of Ichthyofauna, Herpetofauna and Primates of the Cerrado and Pantanal - CERPAN","Goiânia, Brazil.",32h.,"Oficinas de Avaliação de Meio Termo e III Monitoria do Plano de Ação Nacional para Conservação das Espécies Ameaçadas de Extinção da Ictiofauna, Herpetofauna e Primatas do Cerrado e Pantanal - CERPAN"
participation,2022,,Brazilian Snake Extinction Risk Assessment Workshop,Online.,16h.,
